code_name,Project
223,GTSPP (GLOBAL TEMPERATURE-SALINITY PROFILE PROGRAM)
5,GULF OF MEXICO ESTUARINE INVENTORY (GMEI)
305,GULFCET II (DISTRIBUTION/ABUNDANCE OF MARINE MAMMALS IN NORTHERN GULF OF MEXICO)
493,GYROSCOPE (THE GYROSCOPE OCEAN OBSERVING SYSTEM)
500,HERACLES
435,IAPP (International Arctic Polynya Programme)
236,ICE STATION WEDDELL-1
420,ICITA - EQUALANT I
30,ICNAF
50,IDOE
66,IDOE/CEPEX
48,IDOE/CICAR
71,IDOE/CUEA
59,IDOE/GEOSECS 
85,IDOE/ISOS/FDRAKE
61,IDOE/MODE
78,IDOE/NORPAX
177,IDOE/NORPAX/HAWAII-TAHITI SHUTTLE
87,IDOE/POLYMODE
47,IFYGL
25,IIOE
443,IMECOCAL (INVESTIGACIONES MEXICANAS DE LA CORRIENTE DE CALIFORNIA)
89,INDEX
519,INDIAN ARGO
336,INDIGO (FRENCH)
342,INPOC (FRENCH)
49,INTEGRATED GLOBAL OCEAN SERVICE SYSTEM (IGOSS)
592,INTERNATIONAL BOTTOM TRAWL SURVEY (IBTS)
618,INTERNATIONAL NUSANTARA STRATIFICATION AND TRANSPORT PROGRAM (INSTANT)
557,INTERNATIONAL YOUNG FISH SURVEY (IYFS)
577,INTERPOL
242,ISHTAR (INNER SHELF TRANSFER AND RECYCLING)
520,J-ARGO (JAPAN ARGO)
558,JADE / INDIGO/ SINODE
343,JARE (JAPANESE ANTARCTIC RESEARCH EXPEDITION)
338,JASUS (FRENCH)
200,JGOFS (JOINT GLOBAL OCEAN FLUX STUDY)
275,JGOFS - BATS (Bermuda Atlantic Time Series)
301,JGOFS - HOT (Hawaii Ocean Time-series)
281,JGOFS-NABE (JOINT GLOBAL OCEAN FLUX STUDY-NORTH ATLANTIC BLOOM EXPERIMENT)
361,JGOFS/AESOPS US JGOFS ANTARCTIC ENVIRONMENTS SOUTHERN OCEAN PROCESS STUDY
365,JGOFS/ARABIAN SEA PROCESS STUDIES
310,JGOFS/EQPAC (EQUATORIAL PACIFIC BASIN STUDY) 
201,JGOFS/NABS (NORTH ATLANTIC BLOOM STUDY)
532,JGOFS/PROOF (BIOGEOCHEMICAL PROCESSES IN THE OCEAN AND FLUXES) - FRANCE
26,JISETA
456,JOINT AIR-SEA MONSOON INTERACTION EXPERIMENT IN THE INDIAN OCEAN (JASMINE)
484,JOINT WESTERN ARCTIC CLIMATE STUDIES (JWACS) 
323,JRK (JAPAN-CHINA JOINT RESEARCH PROGRAM ON THE KUROSHIO)
243,KER (KUROSHIO EXPLOITATION AND UTILIZATION RESEARCH) (1977 - 1995)
489,KERE (KUROSHIO EXTENSION REGIONAL EXPERIMENT)
324,LINE P
348,LMER (LAND-MARGIN ECOSYSTEM RESEARCH)
295,LOMONOSOV RIDGE
173,LONG-RANGE EFFECTS PROGRAM (PUGET SOUND)
115,LOTUS
120,LOW LEVEL WASTE OCEAN DISP
394,LOWER CHESAPEAKE BAY MONITORING
70,MAFLA
244,MAMALA BAY STUDY
386,MARATHON
561,MARGES
65,MARINE ECOSYSTEMS ANALYSIS PROJECT - NEW YORK BIGHT (MESA - NYB)
82,MARINE ECOSYSTEMS ANALYSIS PROJECT - PUGET SOUND (MESA - PS) 
447,MARINE FOOD CHAIN RESEARCH GROUP
51,MARMAP  (MARine Resource Monitoring Assessment Prediction program)
419,MARNET
538,MAST II (MARINE SCIENCE AND TEHNOLOGY PROGRAMME II)
551,MAST II - MTP EUROMARGE-NB
553,MAST III - FANS (FLUXES ACROSS NARROW SHELVES)
34,MAZATLAN
299,MEDAR/MEDATLAS (MEDITERRANEAN DATA ARCHAEOLOGY AND RESCUE)
252,MEDOC
630,MESOSCALE VORTICES/MEANDERS IN THE CENTR.PORTION OF THE BRANSFIELD ST.(BREDDIES)
565,METRO-MED
504,MFSTEP (MEDITERRANEAN FORECASTING SYSTEM: TOWARD ENVIRONMENTAL PREDICTION)
23,MILOC
126,MIZEX (MARGINAL SEA ICE ZONE EXPERIMENT)
390,MIZEX-83
391,MIZEX-84
392,MIZEX-87
317,MIZLANT
199,MMS FLORIDA STRAITS PHYSICAL OCEANOGRAPHY
145,MMS GOM NOAA/NMFS SOOP
214,MMS LA/TX GULF OF MEXICO EDDY CIRCULATION STUDY (LATEX PART C)
205,MMS N. CAL. COASTAL CIRCULATION STUDY
215,MMS TIGER(TEXAS INSTITUTIONS GULF ECOSYSTEM RESEARCH PROGRAM)
166,MMS/BEAUFORT SEA MONITORING PROGRAM
182,MMS/CENTRAL CALIFORNIA CIRCULATION STUDY
197,MMS/EAST BREAKS SOOP 
193,MMS/FRED(NC FRONTAL EDDY DYNAMICS EXP.)
125,MMS/GOM PHYSICAL OCEANOGRAPHY
179,MMS/MID-ATLANTIC SHELF
181,MMS/NEW ENGLAND SHELF AND SLOPE PROGRAM
412,MMS/NORTHEAST GULF OF MEXICO PHYS OCEANOGRAPHIC PROGRAM (NEGOM)
208,MMS/PHYSICAL OCEAN FIELD PROG OFFSHORE N.CAROLINA
127,MMS/SANTA BARBARA CHANNEL
349,MOCE (MARINE OPTICS CALIBRATION EXPERIMENT)
198,MONSOON & SEA-AIR INTERACTION
352,MOVEN
566,MTP II-MATER (MEDITERRANEAN TARGETED PR.II;MASS TRANSFER AND ECOSYSTEM RESPONSE)
476,NANSEN AND AMUNDSEN BASINS OBSERVATIONAL SYSTEM (NABOS)
36,NAVOCEANO INSHORE SURVEYS
11,NEMP
347,NET (NIMBUS EXPERIMENT TEAM) 
600,NEW JERSEY UPWELLING EXPERIMENT
472,NORTH POLE ENVIRONMENTAL OBSERVATORY (NPEO)
345,NORTH SEA PROJECT
483,NORTHWESTERN HAWAIIAN ISLANDS CORAL REEF ASSESSMENT PGM (NOWRAMP)
164,NOUMEA SOOP
67,OCEAN DUMPING
372,OCEAN MARGIN EXCHANGE PROJECT (OMEX) 
9,OCEAN WEATHER STATION
536,OCEANOGRAPHIC APPLICATIONS TO EUTROPHICATION IN REGIONS OF RESTRICTED EXCHANGE
407,OCEANTAR
105,OCS-CENTRAL GULF
91,OCS-GEORGES BANK
84,OCS-MID ATLANTIC
94,OCS-SOUTH ATLANTIC
83,OCS-SOUTH TEXAS
90,ONR
357,OPTINOM
167,OPTOMA(OCEAN PREDICTION THRU OBSERVATION MODELING AND ANALYSIS)
95,OTEC
81,OUTER CONTINENTAL SHELF OF ENVIRONMENTAL ASSESSMENT PROGRAM (OCSEAP) 
351,OVERFLOW
591,PACIFIC COAST OCEAN OBSERVING SYSTEM (PACOOS)
134,PACIFIC EQUATORIAL OCEAN DYNAMICS(PEQUOD
492,PACIFIC RIM MILITARY EXERCISES (RIMPAC)
88,PARKA
337,PHYCEMED (FRENCH)
326,PHYGAS (FRENCH)
569,PICOLO (PRODUCTION INDUITE EN ZONE DE CONVERGENCE PAR LES ONDES LONGUES OCANIQUE
418,PIRATA BUOY ARRAY
