code_name,Database origin
units,WOD code
1,NODC archive (1992)
2,GTSP Project
3,GODAR Project
4,PMEL TAO/PIRATA database
5,MEDAR/MEDATLAS
6,MOODS (Master Oceanographic Observation Data Set)
7,US GODAE server (Argo)
8,JAMSTEC TRITON database
9,CARBON DIOXIDE IN THE ATLANTIC OCEAN (CARINA)
10,WHO/CCHDO
11,ARCTIC ATLAS 2004 (MMBI-OCL)
12,BRITISH OCEANOGRAPHIC DATA CENTRE
13,COPEPOD (NMFS Coastal and Oceanic Plankton Ecology Production and Observation Database)
