code_name,Project
457,FISHERIES AND OCEANS CANADA, OCEAN SCIENCE AND PRODUCTIVITY (OSAP)
229,FLEX (FLADEN GROUND EXPERIMENT)
28,FLOOD
495,FLOSTRAL (FLOTTEURS DE L'OCEAN AUSTRAL)
220,FLOW OVER ABRUPT TOPOGRAPHY
174,FOCI(FISHERIES-OCEANOGRAPHY COOPERATIVE INVESTIGATIONS)
314,FRAM-1
315,FRAM-III
486,FRESHWATER SWITCHYARD OF THE ARCTIC OCEAN
509,FRONTALIS
256,FRONTS
453,FRUELA
442,GAK1 (GULF OF ALASKA - 1)
73,GATE (G.A.R.P. Atlantic Tropical Experiment) 
455,GEOCHEMISTRY, PHYTOPLANKTON, AND COLOR OF THE OCEAN (GEPCO)
233,GLOBAL CHANGE RESEARCH PROGRAM (GCRP)
471,GLOBAL OCEAN DATA ANALYSIS PROJECT (GLODAP)
253,GLOBAL OCEAN ECOSYSTEMS DYNAMICS (GLOBEC)
488,GLOBAL OCEAN SURFACE UNDERWAY DATA PROJECT (GOSUD)
224,GLOBAL OCEANOGRAPHIC DATA ARCHAEOLOGY AND RESCUE (GODAR)
367,GLOBEC/GEORGES BANK PROGRAM
374,GLOBEC/OREGON PROGRAM (AKA GLOBEC NORTH EAST PACIFIC PROGRAM)
5,GMEI
261,GOALS (GLOBAL OCEAN ATMOSPHERE LAND SYSTEM)
350,GOMEX (GULF OF MEXICO EXPERIMENT)
498,GOODHOPE (MERIDIAN AT THE CAPE OF GOOD HOPE) 
112,GOWAN
46,GREAT LAKES PROJECT
444,GSP (GREENLAND SEA PROJECT)
223,GTSPP (GLOBAL TEMPERATURE-SALINITY PILOT PROJECT )
380,GULF OF ALASKA JET PROJECT
381,GULF OF ALASKA RECIRCULATION STUDY
479,GULF OF MEXICO AIR QUALITY STUDY (GMAQS)
221,GULFCET I (DISTRIBUTION/ABUNDANCE OF MARINE MAMMALS IN GULF OF MEXICO)
305,GULFCET II (DISTRIBUTION/ABUNDANCE OF MARINE MAMMALS IN NORTHERN GULF OF MEXICO)
493,GYROSCOPE (THE GYROSCOPE OCEAN OBSERVING SYSTEM)
403,HALE ALOHA (Hawaii Air-Sea Logging Experiment)
466,HARDBOTTOM
470,HAWAII CORAL REEF INITIATIVE PROGRAM-RESEARCH PROJECT
192,HEBBLE(HIGH ENERGY BENTHIC BOUNDARY EXP.)
500,HERACLES
428,HIGH LATITUDE AERIAL EXPEDITIONS OF 1948 - 1949
308,HIGH LATITUDE DYNAMICS/ARCTIC OCEAN MONITORING
293,HUDSON '70
439,HURP (HAWAII UNDERSEA RESEARCH PROGRAM)
435,IAPP (International Arctic Polynya Programme)
236,ICE STATION WEDDELL-1
1,ICITA  (International Cooperative Investigations of the Tropical Atlantic)
420,ICITA - EQUALANT I
421,ICITA - EQUALANT II
422,ICITA - EQUALANT III 
30,ICNAF
50,IDOE
66,IDOE/CEPEX
48,IDOE/CICAR
71,IDOE/CUEA
59,IDOE/GEOSECS 
85,IDOE/ISOS/FDRAKE
61,IDOE/MODE
78,IDOE/NORPAX
177,IDOE/NORPAX/HAWAII-TAHITI SHUTTLE
87,IDOE/POLYMODE
47,IFYGL
25,IIOE
443,IMECOCAL (INVESTIGACIONES MEXICANAS DE LA CORRIENTE DE CALIFORNIA)
89,INDEX
519,INDIAN ARGO
336,INDIGO (FRENCH)
378,INNER FRONT (NSF SPONSORED, UNIVERSITY OF ALASKA)
342,INPOC (FRENCH)
49,INTEGRATED GLOBAL OCEAN SERVICE SYSTEM (IGOSS)
468,INTERNATIONAL ARCTIC BUOY PROGRAM
242,ISHTAR (INNER SHELF TRANSFER AND RECYCLING)
354,IYHS
520,J-ARGO (JAPAN ARGO)
395,JAPAN EXPERIMENT ON ASIAN MONSOON (1989 - ) (JEXAM)
323,JAPAN-CHINA JOINT RESEARCH PROGRAMME ON THE KUROSHIO (1986 - ) (JRK) 
343,JARE (JAPANESE ANTARCTIC RESEARCH EXPEDITION)
338,JASUS (FRENCH)
200,JGOFS (JOINT GLOBAL OCEAN FLUX STUDY)
275,JGOFS - BATS (Bermuda Atlantic Time Series)
301,JGOFS - HOT (Hawaii Ocean Time-series)
281,JGOFS-NABE (NORTH ATLANTIC BLOOM EXPERIMENT) 
361,JGOFS/AESOPS US JGOFS ANTARCTIC ENVIRONMENTS SOUTHERN OCEAN PROCESS STUDY
365,JGOFS/ARABIAN SEA PROCESS STUDIES
310,JGOFS/EQPAC (EQUATORIAL PACIFIC BASIN STUDY) 
201,JGOFS/NABS (NORTH ATLANTIC BLOOM STUDY)
26,JISETA
456,JOINT AIR-SEA MONSOON INTERACTION EXPERIMENT IN THE INDIAN OCEAN (JASMINE)
484,JOINT WESTERN ARCTIC CLIMATE STUDIES (JWACS) 
243,KER (KUROSHIO EXPLOITATION AND UTILIZATION RESEARCH) (1977 - 1995)
489,KERE (KUROSHIO EXTENSION REGIONAL EXPERIMENT)
475,LAGRANGIAN ISOPYCNAL DISPERSION EXPERIMENT (LIDEX)
324,LINE P
254,LITTLE WINDOW
348,LMER (LAND-MARGIN ECOSYSTEM RESEARCH)
295,LOMONOSOV RIDGE
173,LONG-RANGE EFFECTS PROGRAM (PUGET SOUND)
454,LONG-TERM MONITORING AT THE EAST AND WEST FLOWER GARDEN GARDEN BANKS 
115,LOTUS
120,LOW LEVEL WASTE OCEAN DISP
394,LOWER CHESAPEAKE BAY MONITORING
70,MAFLA
244,MAMALA BAY STUDY
22,MAPMOPP
